                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0454,                 2.3885,                 1.2926,                0.69396,                 0.7472,                0.75417,                0.52934,                 1.0921,                 1.4128,                  1.147,              0.0002081,              0.0002081,              0.0002081
                      2,                 0.9611,                 1.4221,                 1.2173,                0.86516,                0.79462,                0.86104,                0.64611,                0.94378,                0.93909,                 1.0501,             0.00040613,             0.00040613,             0.00040613
                      3,                0.94893,                 1.1746,                 1.2018,                0.89666,                0.82437,                0.90334,                0.65514,                0.96258,                0.80658,                 1.0567,             0.00059384,             0.00059384,             0.00059384
                      4,                0.92109,                 1.0204,                 1.1787,                0.89717,                0.84212,                0.91337,                0.67078,                0.94514,                0.69514,                 1.0572,             0.00057859,             0.00057859,             0.00057859
                      5,                0.88704,                0.92617,                 1.1608,                0.91693,                0.86047,                0.92452,                 0.6827,                0.92223,                0.66599,                 1.0316,             0.00057859,             0.00057859,             0.00057859
                      6,                 0.8696,                0.87718,                 1.1508,                0.92185,                0.86936,                0.92542,                0.70736,                0.86706,                0.59709,                0.99236,             0.00056313,             0.00056313,             0.00056313
                      7,                0.84325,                 0.8288,                 1.1389,                0.92928,                0.89551,                0.94158,                0.73438,                0.81506,                0.55574,                0.97018,             0.00054766,             0.00054766,             0.00054766
                      8,                0.83885,                0.79753,                 1.1317,                0.95125,                0.87985,                0.94151,                0.74126,                0.81063,                0.53009,                0.96976,             0.00053219,             0.00053219,             0.00053219
                      9,                0.80475,                0.75846,                 1.1168,                0.96235,                0.89614,                0.94921,                0.74028,                0.81281,                0.51537,                0.96218,             0.00051672,             0.00051672,             0.00051672
                     10,                0.79404,                0.73844,                 1.1093,                0.95279,                0.89744,                0.95268,                 0.7523,                0.78632,                0.48329,                0.94499,             0.00050125,             0.00050125,             0.00050125
                     11,                0.78256,                0.70902,                 1.1014,                0.96392,                0.89546,                0.95335,                 0.7615,                0.75545,                0.47658,                0.93696,             0.00048578,             0.00048578,             0.00048578
                     12,                0.77458,                0.69745,                 1.1013,                0.95755,                0.91082,                0.95756,                0.76283,                0.75616,                0.46306,                0.92951,             0.00047031,             0.00047031,             0.00047031
                     13,                0.76308,                 0.6724,                 1.0924,                0.95704,                0.90926,                0.95682,                0.76986,                0.75015,                0.44828,                0.92392,             0.00045484,             0.00045484,             0.00045484
                     14,                0.75771,                0.66111,                 1.0889,                0.96867,                 0.9137,                0.96291,                0.78088,                0.73603,                0.43055,                0.91768,             0.00043937,             0.00043937,             0.00043937
                     15,                0.74202,                0.64948,                 1.0839,                0.96286,                0.91395,                0.96044,                0.77975,                  0.733,                0.42977,                0.92381,             0.00042391,             0.00042391,             0.00042391
                     16,                0.73643,                0.63889,                 1.0778,                0.96038,                0.91836,                0.96262,                0.78679,                 0.7261,                0.41989,                0.91719,             0.00040844,             0.00040844,             0.00040844
                     17,                0.72973,                0.62599,                 1.0754,                0.95738,                0.93228,                0.96448,                0.78286,                0.72992,                 0.4129,                0.91769,             0.00039297,             0.00039297,             0.00039297
                     18,                0.71934,                 0.6142,                 1.0692,                0.96328,                0.92888,                0.96399,                0.78663,                0.70867,                0.40982,                0.91234,              0.0003775,              0.0003775,              0.0003775
                     19,                0.71574,                0.60224,                 1.0669,                0.97333,                  0.917,                0.96601,                0.79019,                0.72601,                0.40629,                0.91386,             0.00036203,             0.00036203,             0.00036203
                     20,                 0.6992,                0.59326,                 1.0593,                0.97047,                0.92504,                0.96402,                0.79592,                0.69674,                0.39623,                0.90491,             0.00034656,             0.00034656,             0.00034656
                     21,                0.69883,                0.58367,                 1.0582,                0.97004,                   0.93,                0.96557,                  0.798,                0.69501,                0.39599,                0.90264,             0.00033109,             0.00033109,             0.00033109
                     22,                 0.6903,                0.57314,                 1.0559,                0.97298,                0.92507,                0.96695,                0.80153,                 0.6879,                0.38494,                0.89492,             0.00031562,             0.00031562,             0.00031562
                     23,                0.68122,                0.56397,                  1.049,                0.97242,                0.93562,                0.96738,                0.80647,                0.68416,                0.37643,                0.89047,             0.00030016,             0.00030016,             0.00030016
                     24,                0.66795,                0.54413,                 1.0446,                0.96936,                0.93173,                0.96933,                0.80785,                0.66729,                0.37423,                0.88534,             0.00028469,             0.00028469,             0.00028469
                     25,                 0.6703,                0.54742,                 1.0439,                0.97408,                0.93342,                0.96913,                0.80954,                0.67126,                0.36579,                0.88538,             0.00026922,             0.00026922,             0.00026922
                     26,                0.65853,                0.53468,                 1.0383,                 0.9729,                0.92932,                0.96902,                0.80943,                0.66704,                0.35878,                0.88179,             0.00025375,             0.00025375,             0.00025375
                     27,                0.65105,                0.53016,                 1.0354,                0.97095,                0.94351,                0.96968,                0.81435,                0.66671,                0.35802,                0.88094,             0.00023828,             0.00023828,             0.00023828
                     28,                0.63942,                0.51961,                 1.0302,                0.98189,                0.93801,                0.96975,                0.81335,                0.66445,                0.35934,                0.88017,             0.00022281,             0.00022281,             0.00022281
                     29,                 0.6381,                0.51756,                 1.0268,                0.97678,                0.93781,                0.97169,                 0.8179,                0.65654,                0.34967,                0.87627,             0.00020734,             0.00020734,             0.00020734
                     30,                 0.6317,                0.50594,                 1.0262,                0.97424,                0.94155,                0.97231,                0.81762,                0.64908,                0.34451,                0.87463,             0.00019188,             0.00019188,             0.00019188
                     31,                0.63384,                0.33954,                0.98157,                0.97127,                0.94215,                0.96957,                0.72688,                0.95174,                0.41717,                 1.0373,             0.00017641,             0.00017641,             0.00017641
                     32,                 0.5693,                0.30927,                0.95104,                0.97911,                0.93722,                 0.9687,                 0.7226,                0.97817,                0.42172,                 1.0675,             0.00016094,             0.00016094,             0.00016094
                     33,                0.52699,                0.29031,                 0.9335,                 0.9735,                0.94208,                0.96938,                 0.7299,                0.95799,                0.41506,                 1.0583,             0.00014547,             0.00014547,             0.00014547
                     34,                0.48778,                0.27496,                0.91455,                0.98019,                 0.9377,                0.96995,                0.72497,                0.98071,                 0.4191,                 1.0774,                0.00013,                0.00013,                0.00013
                     35,                0.45699,                0.26254,                 0.9023,                0.97761,                0.94125,                 0.9719,                0.71565,                 1.0142,                0.42579,                 1.1045,             0.00011453,             0.00011453,             0.00011453
                     36,                0.43334,                0.25408,                0.89227,                0.97768,                0.94282,                0.97147,                0.71338,                  1.022,                0.42831,                 1.1162,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     37,                0.40915,                0.24374,                0.88297,                0.97536,                  0.941,                0.97142,                0.70483,                 1.0621,                0.44294,                 1.1556,             8.3594e-05,             8.3594e-05,             8.3594e-05
                     38,                0.38575,                0.23415,                0.87528,                0.97654,                0.94504,                0.97239,                0.70437,                 1.0667,                0.44776,                 1.1673,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     39,                0.36673,                0.22684,                0.86862,                0.97779,                0.94124,                0.97256,                0.70456,                 1.0771,                0.44972,                 1.1815,             5.2656e-05,             5.2656e-05,             5.2656e-05
                     40,                 0.3505,                0.22134,                0.86314,                0.98038,                 0.9387,                0.97238,                0.70101,                 1.0859,                0.45511,                 1.1938,             3.7188e-05,             3.7188e-05,             3.7188e-05
